,title,director,quote,link
60,致命魔术,克里斯托弗·诺兰,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
61,小鞋子,马基德·马基迪,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
62,勇敢的心,梅尔·吉布森,史诗大片的典范。,https://movie.douban.com/subject/1294639/
63,剪刀手爱德华,Tim,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
64,音乐之声,Robert,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
65,疯狂动物城,拜伦·霍华德,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
66,低俗小说,昆汀·塔伦蒂诺,故事的高级讲法。,https://movie.douban.com/subject/1291832/
67,素媛,李濬益,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
68,本杰明·巴顿奇事,大卫·芬奇,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
69,入殓师,泷田洋二郎,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
70,沉默的羔羊,乔纳森·戴米,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
71,黑客帝国,安迪·沃卓斯基,视觉革命。,https://movie.douban.com/subject/1291843/
72,拯救大兵瑞恩,史蒂文·斯皮尔伯格,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
73,蝴蝶效应,埃里克·布雷斯,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
74,西西里的美丽传说,朱塞佩·托纳多雷,美丽无罪。,https://movie.douban.com/subject/1292402/
75,玛丽和马克思,Adam,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
76,心灵捕手,格斯·范·桑特,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
77,春光乍泄,王家卫,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
78,幽灵公主,宫崎骏,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
79,让子弹飞,姜文,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
80,第六感,M·奈特·沙马兰,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
81,阳光灿烂的日子,姜文,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
82,大闹天宫,万籁鸣,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
83,大鱼,蒂姆·波顿,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
84,重庆森林,王家卫,寂寞没有期限。,https://movie.douban.com/subject/1291999/
85,射雕英雄传之东成西就,刘镇伟,百看不厌。 ,https://movie.douban.com/subject/1316510/
86,禁闭岛,Martin,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
87,甜蜜蜜,陈可辛,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
88,上帝之城,Kátia,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
89,阳光姐妹淘,姜炯哲,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
90,致命ID,James,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
91,一一,杨德昌,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
92,告白,中岛哲也,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
93,狩猎,托马斯·温特伯格,人言可畏。,https://movie.douban.com/subject/6985810/
94,布达佩斯大饭店,韦斯·安德森,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
95,加勒比海盗,戈尔·维宾斯基,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
